,question no,option 1,option2,option3,option4,Answer Key
0,$\text { I : }(p \Rightarrow q) \vee(q \Rightarrow p) \text { and II : }(\sim p) \Rightarrow(p \Rightarrow q)$, $\mathrm{I}$  is tautology and $\mathrm{II}$  is fallacy, $\mathrm{I}$  is fallacy and $\mathrm{II}$  is tautology, $\mathrm{I}$  and $\mathrm{II}$  both are tautologies, $\mathrm{I}$  and $\mathrm{II}$  both are fallacies,(c)
1,"Statement $\mathrm{I}$: $x^{2}+y^{2}=12$ and $y^{2}=4 x$ meet at $P$ and $Q$. Tangents drawn to $y^{2}=4 x$ at $P$ and $Q$ meet at $(-2,0)$"," Statement$\mathrm{-I}$ is True, Statement$\mathrm{-II}$ is True and Statement$\mathrm{-II}$ is a correct explanation for Statement$\mathrm{-I}$."," Statement$\mathrm{-I}$ is True, Statement$\mathrm{-II}$ is True and Statement$\mathrm{-II}$ is NOT a correct explanation for Statement$\mathrm{-I}$."," Statement$\mathrm{-I}$ is True, Statement$\mathrm{-II}$ is False."," Statement$\mathrm{-I}$ is False, Statement$\mathrm{-II}$ is True.",(a)
2,"Two fixed points are $A(a, 0)$ and $B(-a, 0)$. If $\angle A-\angle B=\theta$, then the locus of point $C$ of triangle $A B C$ will be", $x^{2}+y^{2}+2 x y \tan \theta=a^{2}$, $x^{2}-y^{2}+2 x y \tan \theta=a^{2}$, $x^{2}+y^{2}+2 x y \cot \theta=a^{2}$, $x^{2}-y^{2}+2 x y \cot \theta=a^{2}$,(d)
3,"The sum of $80$ terms of the series $11,102,1003, \ldots \ldots$ is:", $\frac{1}{81}\left[10^{80}+20\right]$, $\frac{1}{9}\left[2^{80}+29150\right]$, $\frac{1}{9}\left[10^{81}+999\right]$, $\frac{1}{9}\left[10^{81}+29150\right]$,(d)
4,The area above the $x$-axis enclosed by the curves $x^{2}-y^{2}=0$ and $x^{2}+y-2=0$ is, $\frac{5}{3}$, $\frac{7}{3}$, $\frac{8}{3}$, $\frac{10}{3}$,(b)
5,"If a circles $x^{2}+y^{2}=a^{2}$ and the rectangular hyperbola $x y=c^{2}$ intersect in four points, $\left(c t_{r}, \frac{c}{t_{r}}\right), r=1,2,3,4$ then $t_{1} t_{2} t_{3} t_{4}$ is equal to", $-1$, 1, $c^{4}$, $-c^{4}$,(b)
6,The value of $a$ in order that $f(x)=\sin x-\cos x-a x+b$ decreases for all real values is given by, $a \geq \sqrt{2}$, $a<\sqrt{2}$, $a \geq 1$, $a<1$,(a)
7,"The centre of circle touching $Y$-axis at $(0,3)$ and making an intercept of $2$ units on positive $X$-axis is:"," $(10, \sqrt{3})$"," $(\sqrt{3}, 10)$"," $(\sqrt{10}, 3)$"," $(3, \sqrt{10})$",(c)
8,The value of the integral $\int_{0}^{\pi} \frac{x}{1+\cos ^{2} x} d x$ is, $\frac{\pi^{2}}{\sqrt{2}}$, $\frac{\pi^{2}}{2 \sqrt{2}}$, $2 \sqrt{2} \pi$, $\frac{\pi}{2 \sqrt{2}}$,(b)
9, $\lim _{n \rightarrow \infty} \frac{1}{n^{3}}\left[1^{2} \sin \frac{1}{n}+2^{2} \sin \frac{2}{n}+3^{2} \sin \frac{3}{n}+\ldots+n^{2} \sin \frac{n}{n}\right]$ equals, $\cos 1+2 \sin 1$, $2 \sin 1-2$, $\cos 1-2 \sin 1-2$, $\cos 1+2 \sin 1-2$, (d)
10," India plays a series of $5$ cricket matches against Australia with $\frac{1}{2}, \frac{1}{3}$ and $\frac{1}{6}$ chances of winning, loosing and drawing each match. Result of one match is independent of the other. The probability of India winning a series with margin of $4$ wins or more is:", $\frac{7}{3\left(2^{6}\right)}$, $\frac{11}{3\left(2^{6}\right)}$, $\frac{1}{12}$, $\frac{10}{3\left(2^{6}\right)}$, (c)
11, The lines $\vec{r}=(2 \hat{i}+3 \hat{j}+4 \hat{k})+\lambda(3 \hat{i}+\alpha \hat{j}+4 \hat{k})$ and $\vec{r}=(3 \hat{i}+4 \hat{j}+5 \hat{k})+\mu(\hat{i}+\beta \hat{j}+\hat{k})$ are coplanar then :," $\alpha=2, \beta=2$"," $\alpha \in R, \beta=0$"," $\alpha \in R, \beta=1$"," $\alpha=1, \beta=3$", (c)
12, The value of expression $\sum_{r=1}^{n} \tan ^{-1}\left(\frac{2 r}{r^{4}+r^{2}+2}\right)$ is:, $\frac{\pi}{4}$, $\frac{\pi}{2}$, $\tan ^{-1}\left(\frac{n^{2}+n}{n^{2}+n+1}\right)$, $\tan ^{-1}\left(\frac{n^{2}+n}{n^{2}+n+2}\right)$, (d)
13," $f(x)=x^{2}+\int_{0}^{x} e^{-t} f(x-t) d t$, the angle between tangent to curve $y=f(x)$ at $x=-1$ and $+X$-axis is:", $\frac{\pi}{4}$, $\frac{3 \pi}{4}$, $\frac{\pi}{3}$, $\frac{2 \pi}{3}$, (b)
14, If $x^{2}-2 x \cos \theta+1=0$ then the value of $\arg \left(\frac{1+x}{1-x}\right)$ is:, $\frac{\pi}{2}$ or $\frac{3 \pi}{2}$, $\frac{\pi}{2}-\theta$ or $\frac{3 \pi}{2}+\theta$, $\frac{\pi}{4}$ or $\frac{5 \pi}{4}$, $0$ or $\pi$, (a)
15, Differential coefficient of $\tan ^{-1} \frac{2 x}{1-x^{2}}$ with respect to $\sin ^{-1} \frac{2 x}{1+x^{2}}$ will be, $1$, $-1$, $-1 / 2$, $x$, (a)
16, $F_{n}(x)=\int(\log x)^{n} d x$ and $G_{n}(x)=F_{n}(x)+n F_{n-1}(x)$ the $G_{n}(x)$ is equal to : ($K$ is any real arbitrary constant), $(\log x)^{n}+K$, $x \frac{(\log x)^{n+1}}{n+1}+K$, $n(\log x)^{n+1}+K$, None of these, (d)
17," The value of $\lim _{x \rightarrow 0^{+}} x^{m}(\log x)^{n}, m, n \in N$ is", $0$, $\frac{\mathrm{m}}{\mathrm{n}}$, $\mathrm{mn}$, None of these, (a)
18, Exactly one root of cubic expression $x^{3}-12 x+5$ lie in :, Both $\mathrm{I}$ and $\mathrm{II}$ but not $\mathrm{III}$, Both $\mathrm{I}$ and $\mathrm{III}$ but not $\mathrm{II}$, Both $\mathrm{II}$ and $\mathrm{III}$ but not $\mathrm{I}$," All $\mathrm{I}$, $\mathrm{II}$ and $\mathrm{III}$", (d)
19," In a $\Delta A B C, A D$ bisects angle $A$ and $D$ lies on $B C$. Length of $A D$ when $\overrightarrow{A B}=2 i+2 j+k$ and $\overrightarrow{A C}=3 i+4 k$ is:", $\frac{3}{8} \sqrt{30}$, $\frac{5}{8} \sqrt{30}$, $\frac{1}{8} \sqrt{30}$, $\frac{\sqrt{30}}{4}$, (b)
20," An ellipse in the first quadrant is tangent to co-ordinate axes. If one focus is $\mathrm{F}_{1}(3,7)$, and the other focus is $\mathrm{F}_{2}(\mathrm{~d}, 7)$, then the value of $\sqrt{3 d}$ is equal to",,,,, (7)
21, $A$ and $B$ are two sets comprising of $5$ and $2$ elements each. The number of unordered pair disjoint subsets of $A \times B$ having $5$ elements and $3$ elements respectively are :,,,,, (2520)
22," For all complex numbers $z_{1}, z_{2}$ satisfying $\left|z_{1}\right|=12$ and $\left|z_{2}-3-4 i\right|=5$, the minimum value of $\left|z_{1}-z_{2}\right|$ is",,,,, (2)
23, $\sin ^{2} 12^{\circ}+\sin ^{2} 21^{\circ}+\sin ^{2} 39^{\circ}+\sin ^{2} 48^{\circ}-\sin ^{2} 9^{\circ}-\sin ^{2} 18^{\circ}$ is equal to,,,,, (1)
24, The value of $\operatorname{Lim}_{n \rightarrow \infty}\left(\sum_{r=1}^{n}\left(\frac{2 r+5}{r^{2}+r}\right)\left(\frac{3}{5}\right)^{r+1}\right)$ is equal to,,,,, (1.8)
25," Find the greatest angle of a triangle whose sides are $a, b, \sqrt{a^{2}+b^{2}+a b}$",,,,, (120)
26," If function $\mathrm{y}=f(\mathrm{x})$ satisfy the differential equation $\left(x^{3}+1\right) d y=x(1-3 x y) d x$ and $f(0)=0$, then $\lim _{x \rightarrow 0} \frac{x^{2}}{f(x)}$ is equal to",,,,, (2)
27, Two roads $O A$ and $O B$ intersect at an angle of $60^{\circ}$. A car driver approaches $O$ from $A$ where $O A=800 \mathrm{~m}$ at a uniform speed of $20 \mathrm{~m} / \mathrm{sec}$. Simultaneously another car moves from $O$ towards $B$ at a uniform speed of $25 \mathrm{~m} / \mathrm{sec}$. If $t$ is the time when the two cars are closest. then $[t]^{2}$ is equal to $([\mathrm{x}]$ means greatest integer less than or equal to $\mathrm{x})$,,,,, (256)
28," Let $T$ and $D$ be number of triangles and diagonals formed by joining vertices of $n$-sided regular polygon respectively such that $T=D+5$, then the value of $n$ is:",,,,, (5)
29, $A$ and $B$ are coefficients of terms independent of $x$ in the expansions $\left(x^{2}+\frac{1}{\sqrt{x}}\right)^{10}$ and $\left(\sqrt{x}+\frac{1}{x^{2}}\right)^{10}$. The ratio of $A$ and $B$ is:,,,,, (1)
